Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_102,2001,0.16617304,0,416.76346,0.00549204,0.16164805,2559.6108,522.02014,0.000648,40.015427,178.7655,11.021418,4.190095
Grid_Cell_102,2002,0.2076057,0,440.4789,0.005029433,0.24279806,2587.72,469.47058,0.002815151,37.53662,218.34146,10.587641,3.9639537
Grid_Cell_102,2003,0.20771897,0,397.66797,0.005427664,0.13121103,2243.2737,425.18414,0.010472449,34.45893,223.13736,9.62179,4.06689
Grid_Cell_102,2004,0.16896434,0,435.95538,0.00596268,0.22328737,2285.906,531.4699,0.001754307,35.806553,240.53816,11.027887,4.3288684
Grid_Cell_102,2005,0.17751849,0,470.49057,0.005484743,0.20341934,2507.885,526.5832,0.002390305,26.764112,261.94846,11.851923,4.218077
Grid_Cell_102,2006,0.21453747,0,438.99805,0.005215188,0.15891215,2753.6858,441.91763,0.007093747,29.784351,229.53894,11.52215,4.2534046
Grid_Cell_102,2007,0.16709189,0,407.03207,0.004789602,0.16071361,3102.224,382.1915,0.000752,37.814102,203.77621,12.493036,4.3611712
Grid_Cell_102,2008,0.16684009,0,415.41718,0.005003076,0.15333234,2641.4197,390.88702,0.004517776,32.699276,185.50288,11.305201,3.9981873
Grid_Cell_102,2009,0.18104711,0,436.22327,0.004714612,0.18336965,2783.321,476.76382,0.002542144,31.041378,190.1713,11.42544,4.195064
Grid_Cell_102,2010,0.19624685,0,418.9956,0.004938205,0.188687,2930.3936,466.82242,0.005083884,28.940681,220.12987,12.5863285,4.360243
Grid_Cell_102,2011,0.18749216,0,482.64862,0.004939368,0.31657657,2782.5598,451.03177,0.004610716,29.909,211.94534,10.462671,4.5487413
Grid_Cell_102,2012,0.2444887,0,388.46036,0.005186025,0.25412166,3071.1687,381.76437,0.010592438,30.218292,177.17897,11.531153,5.002056
Grid_Cell_102,2013,0.18358022,0,353.7126,0.005014841,0.07162152,3141.6096,336.56256,0.000501,38.56576,145.82515,12.278101,4.9502954
Grid_Cell_102,2014,0.15839921,0,298.6622,0.004549147,0.06391673,3434.9436,289.3363,0.000456,42.992367,120.208206,11.529139,5.341153
Grid_Cell_102,2015,0.14744304,0,336.9181,0.004899256,0.05719737,3249.5925,338.75064,0.000459,46.25244,120.857056,12.537195,4.989725
Grid_Cell_102,2016,0.1673614,0,340.28445,0.005356398,0.049034927,2859.4539,364.75024,0.000638,40.65085,141.40771,12.0715275,4.6459246
Grid_Cell_102,2017,0.16311856,0,275.0549,0.005111753,0.056733787,3159.3591,256.75598,0.001556836,44.080753,132.96712,12.491419,4.9152565
Grid_Cell_102,2018,0.15252993,263,295.5813,0.004894548,0.06952859,3368.3135,330.59448,0.000717,46.689114,123.8518,12.782251,4.981419
Grid_Cell_102,2019,0.1266776,70,291.81122,0.005224344,0.06466877,3174.3162,232.90416,0.000439,48.329906,133.17368,13.214441,4.752172
Grid_Cell_102,2020,0.11997035,75,286.06183,0.004817725,0.0656269,3614.5725,292.24976,0.000467,50.0439,126.800125,13.402765,5.2636275
Grid_Cell_102,2021,0.13315554,161,369.8577,0.005215546,0.0596835,3306.3901,410.49286,0.000522,41.26922,133.4238,13.34115,5.0176463
Grid_Cell_102,2022,0.14868315,449,421.23734,0.005064605,0.063676916,3398.4907,450.73044,0.000896,36.688725,162.75447,13.212702,5.2850647
Grid_Cell_102,2023,0.13206246,3063,424.43994,0.005514004,0.051756643,3229.2068,419.5627,0.000675,39.595024,163.40642,13.8918705,5.1699195
Grid_Cell_102,2024,0.13100505,13110,338.04944,0.004823552,0.06800951,3661.4937,350.7647,0.000737,50.805706,156.6794,13.648127,5.1631994
Grid_Cell_102,2025,0.12895988,16728,405.884,0.00528861,0.056373343,3282.1047,402.32294,0.000479,46.58636,148.36688,13.669245,4.7332444
Grid_Cell_103,2000,0.14551,0,369.10806,0.00497109,0.16133882,2919.383,398.57,0.000593,42.304314,147.47356,11.084772,4.2451105
Grid_Cell_103,2001,0.16432613,0,406.2691,0.005467235,0.17022292,2586.2288,505.15164,0.000611,40.681477,174.43587,11.026392,4.2229376
