Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_102,2020,0.27570492,2854,607.73334,0.008467247,0.08421639,4923.9473,685.4567,0.007623777,55.788754,196.19714,28.622065,4.080601
Grid_Cell_102,2021,0.2756318,3528,532.66876,0.007846577,0.113383204,4950.532,507.89484,0.002796363,57.14801,189.73341,28.84582,4.101242
Grid_Cell_102,2022,0.2756318,3730,593.8559,0.008231695,0.08452061,4738.592,776.1161,0.005234181,53.225986,193.97554,27.758081,4.072051
Grid_Cell_102,2023,0.2756318,3549,626.3265,0.008041583,0.0926782,4873.5845,578.4167,0.002626794,49.11096,204.03703,29.18719,3.9541318
Grid_Cell_102,2024,0.27570382,4400,616.5327,0.008412099,0.092419915,4837.832,710.8681,0.00517001,56.584038,191.18813,28.600367,4.053287
Grid_Cell_102,2025,0.27563012,5521,592.85333,0.007582381,0.094120614,4845.118,643.1357,0.004191419,50.980778,204.85568,28.921656,4.018219
Grid_Cell_103,2000,0.260312,142,561.9302,0.005810957,0.2385588,4493.0576,473.17252,0.000924,45.890354,213.3415,28.812433,2.6489027
Grid_Cell_103,2001,0.2602504,108,519.93915,0.00828305,0.1833615,3909.9226,579.2029,0.001310353,48.259644,195.58313,28.444574,2.5244102
Grid_Cell_103,2002,0.26025042,139,497.57745,0.007576741,0.25518346,4203.1885,484.50095,0.00087,51.220848,205.2874,29.438593,2.4721727
Grid_Cell_103,2003,0.2602504,183,546.9801,0.008694706,0.22953635,3946.7993,596.75616,0.001508,46.829388,216.45796,28.685663,2.410383
Grid_Cell_103,2004,0.26031804,202,553.9752,0.008095587,0.17404838,4013.467,566.00653,0.001530868,45.484623,221.6304,29.181238,2.4817371
Grid_Cell_103,2005,0.2602504,114,571.4522,0.009090315,0.18588309,3937.3853,600.3191,0.001706819,47.70138,227.01874,29.089685,2.6070843
Grid_Cell_103,2006,0.26025042,108,609.82385,0.008036554,0.14391704,4083.4028,648.5724,0.001828113,43.657326,230.42563,29.772364,2.612172
Grid_Cell_103,2007,0.26025042,184,609.4241,0.008093287,0.16277443,4116.552,618.6899,0.001523089,44.67616,234.51715,29.612116,2.752952
Grid_Cell_103,2008,0.26031804,177,555.007,0.008826624,0.14206773,3918.1335,636.69653,0.002571015,48.633682,232.34047,28.90188,2.7210016
Grid_Cell_103,2009,0.26025042,163,537.9668,0.008663646,0.25246778,4092.593,492.5351,0.001006795,45.827324,219.02643,30.24029,2.7479064
Grid_Cell_103,2010,0.2602504,329,565.7147,0.008640174,0.14956462,4171.0527,623.1373,0.004302497,47.058384,213.87312,30.362879,2.75264
Grid_Cell_103,2011,0.2602504,283,547.14624,0.008242752,0.21821143,4642.003,484.7105,0.002426202,54.229717,204.62009,30.171534,3.4126794
Grid_Cell_103,2012,0.26031804,691,612.9777,0.008534296,0.2151257,4476.551,726.7658,0.005896957,47.362316,205.00801,30.43014,3.4657855
Grid_Cell_103,2013,0.2602504,739,559.4763,0.00793329,0.0864707,4641.9604,541.742,0.003924041,49.3093,215.92587,31.228968,3.3932066
Grid_Cell_103,2014,0.26025042,959,502.93665,0.008125318,0.092195414,4665.0576,485.51938,0.004184431,52.60812,192.90794,31.134333,3.3894067
Grid_Cell_103,2015,0.2602504,955,524.79706,0.007492427,0.08897615,4673.3823,540.74524,0.003989712,52.982517,185.44693,29.927454,3.465547
Grid_Cell_103,2016,0.26031804,792,269.67743,0.007782775,0.09261487,4701.142,159.67253,0.000485,66.8711,139.44003,30.309961,3.3772087
Grid_Cell_103,2017,0.2602504,952,180.80333,0.007747849,0.092253625,4997.248,178.05312,0.000813,77.57501,85.39568,29.982935,3.7738183
Grid_Cell_103,2018,0.2602504,1402,172.86412,0.00798798,0.083325766,5002.8345,173.81952,0.000485,81.88312,82.31597,29.98977,3.8711793
Grid_Cell_103,2019,0.2602504,1634,330.73117,0.008622913,0.07554042,4814.8926,372.9791,0.002471435,70.32,108.3838,29.450525,3.8897746
Grid_Cell_103,2020,0.26031804,2854,612.9075,0.008578127,0.079308406,4937.7646,648.6787,0.006279102,53.730183,218.94722,28.637049,4.1603484
